,1,2,3,4
0,539,539,539,539
1,588,588,588,588
2,637,637,637,637
3,686,686,686,686
4,735,735,735,735
5,784,784,784,784
6,833,833,833,833
7,882,882,882,882
8,931,931,931,931
9,980,980,980,980
10,1029,1029,1029,1029
11,1078,1078,1078,1078
12,1127,1127,1127,1127
13,1176,1176,1176,1176
14,1225,1225,1225,1225
15,1274,1274,1274,1274
16,1323,1323,1323,1323
17,1372,1372,1372,1372
18,1421,1421,1421,1421
19,1470,1470,1470,1470
20,1519,1519,1519,1519
21,1568,1568,1568,1568
22,1617,1617,1617,1617
23,1666,1666,1666,1666
