,fixed
0,4.674946534225682
1,4.222844345269094
2,4.479548846862913
3,5.107585501631603
4,5.4237733213880395
5,4.394293521932805
6,3.9690978473274034
7,4.604035629876571
8,4.940968414555439
9,5.863397024973978
10,4.739160384138765
11,4.586165635854333
12,4.973066150363766
13,4.810835436597156
14,5.979128133622064
15,5.932895264942756
16,6.739621021492857
17,5.684706539439289
18,5.660271178230417
19,6.236945741516023
20,4.781228844116365
21,6.592637896997115
22,5.685035696195349
23,5.065687386299913
