,adaptive
0,5.17291228640601
1,4.441062180813074
2,4.841035967219743
3,4.918053251757599
4,5.698892098106941
5,5.5131939396351575
6,5.560245772422989
7,4.618916082596014
8,6.734249471826392
9,6.855095817314461
10,6.109517074495298
11,5.582458760554698
12,5.794156514867605
13,5.948788773124389
14,5.616073386907886
15,5.236050206948244
16,5.557657545468104
17,6.228130087856089
18,4.5529596307426035
19,5.929868485495024
20,4.332788845536026
21,5.043696585029749
22,5.79488881782397
23,6.837328703716441
